source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Slashdot.org'}",msmash,First Bitcoin ETF Could Be Coming Soon as Court Rules in Favor of Grayscale Over SEC,"The U.S. Court of Appeals for the D.C. Circuit has paved the way for bitcoin exchange-traded funds. From a report: On Tuesday, the court sided with Grayscale in a lawsuit against the Securities and Exchange Commission which had denied the company's applicatio…",https://slashdot.org/story/23/08/29/1816233/first-bitcoin-etf-could-be-coming-soon-as-court-rules-in-favor-of-grayscale-over-sec,https://a.fsdn.com/sd/topics/bitcoin_64.png,2023-08-29T19:20:00Z,"On Tuesday, the court sided with Grayscale in a lawsuit against the Securities and Exchange Commission which had denied the company's application to convert the Grayscale Bitcoin Trust to an ETF. The… [+1393 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Matthew Fox,Bitcoin plunges more than 10% after Elon Musk's SpaceX reportedly sold the cryptocurrency,The Wall Street Journal reported that SpaceX wrote down the value of its bitcoin holdings by a total of $373 million and has sold the cryptocurrency.,https://markets.businessinsider.com/news/currencies/bitcoin-price-plunge-elon-musks-spacex-sold-373-million-stake-2023-8,https://i.insider.com/64df7ff3b698ac0019dc43a3?width=1200&format=jpeg,2023-08-18T15:14:49Z,"AP
<ul><li>Bitcoin plunged about 10% after it was revealed that SpaceX sold the cryptocurrency.</li><li>The Wall Street Journal reported that SpaceX wrote down the value of bitcoin it owns by $373 m… [+1842 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,Bitcoin just had its 2nd-straight losing month as crypto sold off in August along with stocks and bonds,The world's biggest cryptocurrency failed to eke out a gain in August even as crypto investors cheered Grayscale's win over the SEC.,https://markets.businessinsider.com/news/currencies/bitcoin-price-crypto-token-august-stocks-bonds-equities-markets-investors-2023-9,https://i.insider.com/64f217441e6afd00196a380f?width=1200&format=jpeg,2023-09-01T17:42:25Z,"bitcoin cryptocurrency digital currencyEdward Smith/Getty Images
<ul>
<li>Bitcoin finished August about 10% lower, its second consecutive losing month. </li>
<li>Crypto was caught up in a tough sell… [+2148 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Matthew Fox,"Bitcoin could drop to the $20,000 range if a key price level is breached","""We remain long-term neutral, but we are wary of negative catalysts that could develop from a bigger retracement,"" Katie Stockton said.",https://markets.businessinsider.com/news/currencies/bitcoin-price-outlook-broken-support-20000-range-technical-analysis-2023-8,https://i.insider.com/64e62a424c17ff0019bb16bc?width=1200&format=jpeg,2023-08-23T16:42:26Z,"Wenjin Chen/Getty Images
<ul><li>Bitcoin is testing a key support level that, if broken, could send the cryptocurrency back to the $20,000 range.</li><li>That's according to Fairlead Strategies' Kat… [+2149 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,"Bitcoin is headed to $180,000 if regulators approve the first spot ETF in the US, Fundstrat's Tom Lee says",The macro strategist broke down how regulators' decision to approve a new spot bitcoin ETF could send the token soaring next year.,https://markets.businessinsider.com/news/currencies/bitcoin-price-outlook-spot-etf-cryptocurrency-fundstrat-tom-lee-btc-2023-8,https://i.insider.com/5fa1884c1df1d500182188f7?width=1200&format=jpeg,2023-08-16T18:27:23Z,"Cindy Ord/Getty Images
<ul>
<li>Fundstrat's Tom Lee said the approval of a new spot bitcoin ETF could send the token soaring in 2024.</li>
<li>He told CNBC Wednesday that bitcoin could reach $180,00… [+2298 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",George Glover,Bitcoin is finally trading like 'digital gold' – but only because nobody cares about crypto anymore,"Investors fled digital assets after a nightmarish 2022, and the largest token by market capitalization now trades way below its record high.",https://markets.businessinsider.com/news/currencies/bitcoin-price-outlook-digital-gold-crypto-crash-volatility-ftx-sbf-2023-8,https://i.insider.com/64cb879095fe1f0019df9fc4?width=1200&format=jpeg,2023-08-05T09:00:01Z,"Bitcoin's 30-year volatility is close to a five-year low, per Bloomberg.Marco Bello/Getty Images
<ul>
<li>The price of Bitcoin is as stable as it's been for five years, according to one gauge.</li>
… [+1737 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,FTX taps Mike Novogratz's Galaxy Digital to help sell crypto stash,"FTX is looking for approval in appointing Galaxy Digital to manage its digital token assets, filings from Wednesday show.",https://markets.businessinsider.com/news/currencies/ftx-mike-novogratz-galaxy-digital-sell-crypto-bitcoin-sbf-ether-2023-8,https://i.insider.com/64c8fcf1cf077800196853a9?width=1200&format=jpeg,2023-08-24T18:33:49Z,"Mike Novogratz speaks during Bitcoin 2022.Marco Bello / Stringer /Getty Images
<ul>
<li>FTX is looking for help from Galaxy Digital in managing its digital assets, filings show.</li>
<li>The investm… [+1879 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Matthew Fox,US stocks surge after jobs data takes pressure off of interest rates,"A decline in job openings means wage pressures should ease, which would give the Federal Reserve some breathing room in its interest rate plans.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-jolts-job-data-interest-rates-fall-2023-8,https://i.insider.com/626ff9cb86fa90001905fcd2?width=1200&format=jpeg,2023-08-29T20:16:18Z,"Traders work on the floor at the opening bell of the Dow Industrial Average at the New York Stock Exchange on March 18, 2020 in New York.Bryan R. Smith/AFP/Getty Images
<ul><li>US stocks surged on T… [+2780 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,US stocks trade mixed as the Dow caps off its worst week since March,The S&P 500 and Nasdaq Composite both notched their third consecutive week of declines.,https://markets.businessinsider.com/news/stocks/stock-market-news-today-dow-china-fed-deflation-bonds-bankruptcy-2023-8,https://i.insider.com/64dfbe81b698ac0019dcc01e?width=1200&format=jpeg,2023-08-18T20:07:00Z,"Traders work on the floor of the New York Stock Exchange shortly after the opening bell in New York, U.S., February 6, 2020.Lucas Jackson/Reuters
<ul>
<li>US stocks finished mixed on Friday, with th… [+2428 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,"US stocks fall as bond yields jump and investors await Apple, Amazon earnings",Apple and Amazon stock traded mostly flat as investors waited for the mega-cap tech firms to release second-quarter results.,https://markets.businessinsider.com/news/stocks/stock-market-news-today-apple-amazon-earnings-price-bond-yields-2023-8,https://i.insider.com/5e8f5b15c0232051c357299d?width=1200&format=jpeg,2023-08-03T20:03:10Z,"Lucas Jackson/Reuters
<ul>
<li>US stocks closed lower on Thursday as investors awaited for Apple and Amazon earnings to roll out.</li>
<li>The 10-year Treasury surged 11 basis points, continuing its… [+2563 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,US stocks fall as Dow sheds nearly 350 points after Fitch credit-rating downgrade,"Fitch pointed to a deterioration of US governance and suspect management of fiscal and debt matters, though some experts have shrugged it off.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-dow-fitch-downgrade-fed-debt-credit-2023-8,https://i.insider.com/64caae27ce6977001984c24c?width=1200&format=jpeg,2023-08-02T20:06:18Z,": Traders work on the floor of the New York Stock Exchange (NYSE) on June 01, 2023 in New York City. Despite the passing the debt ceiling bill in the U.S. House of Representatives, the Dow was lower … [+2490 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Max Adams,US stocks fall as Fed minutes show officials think hot inflation could still require more rate hikes,Meeting minutes showed that officials believe policy needs to be aggressive enough to solidly get inflation back down to the 2% target.,https://markets.businessinsider.com/news/stocks/stock-market-news-today-fed-minutes-inflation-sp500-dow-economy-2023-8,https://i.insider.com/6054c0bea7446d0018c85192?width=1200&format=jpeg,2023-08-16T20:05:50Z,"Traders work on the floor of the New York Stock Exchange during morning trading on May 17, 2023 in New York City.Michael M. Santiago/Getty Images
<ul>
<li>US stocks closed lower on Wednesday after F… [+3696 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks rise to gain for the week as traders assess August jobs report,"Wage growth slowed in August and unemployment climbed, calming investors worried about more aggressive moves by the Fed.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-equities-unemployment-august-jobs-report-inflation-2023-9,https://i.insider.com/648359eca460da00192438f5?width=1200&format=jpeg,2023-09-01T20:07:02Z,"US Federal Reserve Chair Jerome Powell attends a press conference in Washington, DC, on March 22, 2023.Liu Jie/Xinhua via Getty Images
<ul>
<li>Stocks were mostly higher on Friday with major indexes… [+2735 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks fall after erasing earlier gains as Apple sells off on earnings,"For the week, the Dow lost 1%, the S&P 500 fell 2.3%, and the Nasdaq dropped 2.8%.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-apple-amazon-q2-earnings-jobs-report-2023-8,https://i.insider.com/64cd491ef5d4870019e2046b?width=1200&format=jpeg,2023-08-04T20:12:51Z,"Spencer Platt/Getty Images
<ul>
<li>US stocks finished lower after reversing earlier gains as Apple dragged down indexes.</li>
<li>Apple stock tumbled 4.8% as quarterly revenue continued to drop.  <… [+1806 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Grace Kay,"The wild life of billionaire Twitter co-founder Jack Dorsey, who is known for eccentricities like eating one meal a day, and taking ice baths",Jack Dorsey is famous for his unusual life of luxury. He's friends with Elon Musk and stepped down as Twitter CEO in 2021 but continues to lead Block.,https://www.businessinsider.com/jack-dorsey-twitter-creator-billionaire,https://i.insider.com/60f93babfc253600181fbfd1?width=1200&format=jpeg,2023-08-29T10:08:05Z,"Jack Dorsey has led an interesting life.Joe Raedle/Getty Images
<ul>
<li>Jack Dorsey cofounded Twitter in 2006 and the company made him a billionaire.</li>
<li>He stepped down as Twitter CEO in 2021… [+22810 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,US stocks extend sell-off as bond yields jump following Fitch downgrade of US credit rating,"Investors are waiting for financials from Apple and Amazon, which are set to report earnings after the closing bell.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-fitch-us-credit-downgrade-bond-yields-2023-8,https://i.insider.com/5fa2a0e31df1d50018218c5c?width=1200&format=jpeg,2023-08-03T13:46:46Z,"Don Emmert /AFP/GettyImages
<ul>
<li>US stocks continued to slide Thursday following Fitch's US credit downgrade.</li>
<li>The hit to America's credit rating also caused bond yields to jump.</li>
<l… [+2384 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks rise as investors digest mega-cap earnings and jobs report,"The Labor Department's payroll report came in weaker than expected on Friday, with 187,000 new jobs created in July.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-dow-apple-amazon-earnings-jobs-report-2023-8,https://i.insider.com/64ccf34c0b651c00193ace02?width=1200&format=jpeg,2023-08-04T13:32:02Z,"Stock tradersDrew Angerer/Getty Images
<ul>
<li>US stocks rose as investors weighed Apple and Amazon earnings as well as payroll data.</li>
<li>The US jobs report came in weaker than expected on Fri… [+1912 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,US stocks rise after 3-week selloff as traders look ahead to key earnings and Powell speech,Markets are expecting key AI firms to report earnings and Powell to deliver his remarks on the US economy this week.,https://markets.businessinsider.com/news/stocks/stock-market-news-today-wall-street-earnings-powell-jackson-hole-2023-8,https://i.insider.com/60f5c6009addaf00191ead2a?width=1200&format=jpeg,2023-08-21T13:37:38Z,"A trader works during the Fed rate announcement on the floor at the New York Stock Exchange (NYSE) in New York, U.S., March 20, 2019.Reuters/Brendan McDermid
<ul>
<li>US stocks eked a small recovery… [+2252 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,US stocks drop as bank shares slide after Moody's downgrades 10 firms,The ratings giant slashed the ratings for 10 lenders and also put a handful of other banks on watch for a potential downgrade.,https://markets.businessinsider.com/news/stocks/stock-market-news-today-dow-banks-moodys-downgrades-ratings-finance-2023-8,https://i.insider.com/64d240e320f1cf0019cce8bf?width=1200&format=jpeg,2023-08-08T13:50:38Z,"Mario Tama/Getty Images
<ul>
<li>US stocks dropped Tuesday, and the Dow lost more than 260 points at the open.</li>
<li> Moody's downgraded 10 US banks and also put other firms on downgrade watch.</… [+2392 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,'Rich Dad Poor Dad' author Robert Kiyosaki warns of a market 'crash landing' after US credit rating gets slashed,"Kiyosaki, a frequent economic doomsayer, has been sounding the alarm for an epic stock market crash for years.",https://markets.businessinsider.com/news/stocks/market-crash-rich-dad-poor-dad-robert-kiyosaki-fitch-downgrade-2023-8,https://i.insider.com/61377ce0eedea900193d585c?width=1200&format=jpeg,2023-08-03T18:20:11Z,"The Rich Dad Channel/YouTube
<ul>
<li>Investors should brace for an epic ""crash landing"" to hit markets and the economy, Robert Kiyosaki said.</li>
<li>The ""Rich Dad Poor Dad"" author pointed to Fitc… [+2068 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,US stocks climb on fresh signs the labor market is cooling,"Tuesday's JOLTS data and Wednesday's ADP report both pointed to a cooling labor market, a welcome sign for the Federal Reserve.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-indexes-labor-jobs-jolts-fed-inflation-2023-8,https://i.insider.com/64ef42380ce10a00183b6af9?width=1200&format=jpeg,2023-08-30T13:35:11Z,"Michael M. Santiago/Getty Images
<ul>
<li>US stocks climbed Wednesday on fresh indications that the labor market is cooling.</li>
<li>The ADP report showed private-sector job growth slowed more than… [+2298 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,US stocks head for a 5-day winning streak as investors assess Fed's favorite inflation gauge,"The Fed's favorite inflation gauge rose 4.2% year over year in July, in line with what economists were expecting.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-rally-winning-streak-fed-inflation-pce-2023-8,https://i.insider.com/61645cf62f8ca900195f6bd4?width=1200&format=jpeg,2023-08-31T13:37:45Z,"Getty Images / Mario Tama
<ul>
<li>Stocks headed for a five-day winning streak as investors digested the Fed's favorite inflation measure.</li>
<li>Core PCE inflation rose 4.2% year per year in July… [+2336 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,US stocks rise after Nvidia's blowout earnings beat,"The AI chipmaker's stock jumped almost 8% in early trade, pushing the market cap to a new record of $1.25 trillion.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-nvidia-earnings-wall-street-nasdaq-tech-2023-8,https://i.insider.com/64e75709a7adf7001906e3ce?width=1200&format=jpeg,2023-08-24T13:34:06Z,"Jensen Huang, CEO of NVIDIA, at a 2023 press conference in Taipei.Sam Yeh / Contributor
<ul>
<li>Stocks rose Thursday after Nvidia's earnings blew Wall Street expectations out of the water.</li>
<li… [+2169 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Matthew Fox,US stocks edge lower as investors await slew of economic data,"The August employment report will be released Friday morning, with economists expecting a net gain of 186,000 new jobs.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-china-stimulus-economic-data-cpi-jobs-2023-8,https://i.insider.com/5f5b6fa8e6ff30001d4e83fe?width=1200&format=jpeg,2023-08-29T13:37:15Z,"Traders work on the floor of the New York Stock Exchange shortly after the opening bell in New York, U.S., March 17, 2020.Lucas Jackson/Reuters
<ul><li>US stocks edged lower on Tuesday as investors … [+2285 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Will Gendron,Does anyone care about crypto? Consumer transaction volume on Coinbase is down 70% from last year.,Coinbase reported transaction volume is way down on the crypto exchange following a prolonged Crypto Winter.,https://www.businessinsider.com/consumer-transaction-volume-coinbase-earnings-fell-troubling-bad-crypto-trading-2023-8,https://i.insider.com/62eac2d5c6987600183c781c?width=1200&format=jpeg,2023-08-05T16:34:34Z,"Coinbase, whose CEO Brian Armstrong is pictured, saw transactions drop on the platform.Patrick T. Fallon / Getty Images
<ul>
<li>Coinbase released its second quarter earnings for 2023 — and the repo… [+2098 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jason Ma,US stocks tumble as 10-year yield keeps climbing to hit highest since 2007,"Stock market indexes gave up early gains to finish lower, with the Dow notching its third consecutive decline.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-10-year-yield-highest-2007-dow-2023-8,https://i.insider.com/64de77aabd98a6001978718e?width=1200&format=jpeg,2023-08-17T20:05:00Z,"Angela Weiss/AFP via Getty Images
<ul>
<li>US stocks tumbled Thursday as the 10-year Treasury yield kept climbing and hit the highest level since 2007.</li>
<li>Measured on a daily basis, using a si… [+2056 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Max Adams,US stocks slip as traders wait for Fed meeting minutes,"Markets were eyeing the release of the Fed's July meeting minutes, due out at 2 p.m. ET on Wednesday.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-fed-minutes-economy-inflation-china-2023-8,https://i.insider.com/64dcc7905e5d5a00195f1749?width=1200&format=jpeg,2023-08-16T13:31:33Z,"Michael M. Santiago/Getty Images
<ul>
<li>US stocks were lower Wednesday morning ahead of the release of the Fed's latest meeting minutes. </li>
<li>Inflation has been falling but is still above the… [+2483 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks rise as jobs data dampens fears of a tighter Fed,"The unemployment rate rose to 3.8% in August, and job gains from prior months were revised lower.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-august-jobs-report-fed-rate-hike-2023-9,https://i.insider.com/64f1e2a95114270019af0ea2?width=1200&format=jpeg,2023-09-01T13:37:43Z,"Traders work on the floor of the New York Stock Exchange (NYSE) on March 28, 2023 in New York City.Spencer Platt/Getty Images
<ul>
<li>US stocks rose as fears diminished that the Fed would raise int… [+2210 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Phil Rosen,US stocks rise as investors try to shake off August slump ahead of retail data,"Tech led the market higher, with the Nasdaq up more than 1% after last Friday marked its first run of back-to-back weekly losses in 2023.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-indexes-traders-banks-wall-street-housing-2023-8,https://i.insider.com/64da740f5e5d5a00195db4ef?width=1200&format=jpeg,2023-08-14T20:09:22Z,"NYSE
<ul>
<li>US stocks ended higher as traders try to reinvigorate a rally that's stalled in August.</li>
<li>The Nasdaq Composite was up over 1% after coming off back-to-back losing weeks for the … [+2872 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Filip De Mott,US stocks trade mixed after giving up early gains as tech-led rally fizzles,"Investors are bracing for Nvidia's earnings report on Wednesday, while the Federal Reserve's upcoming Jackson Hole symposium may provide some upside.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-nvda-nvidia-tech-rally-federal-reserve2023-8,https://i.insider.com/64e510fa912f290019a90b8b?width=1200&format=jpeg,2023-08-22T20:16:07Z,"Jen-Hsun Huang, CEO of Nvidia Corp., gives a keynote presentation during the GPU Technology Conference in San Jose, California. Huang later unveiled the Titan X CPU operating with a GeForce GTX Titan… [+2897 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,US stocks falls as markets assess downbeat China data,"China's economic slump continues, weighing on prospects for global growth. The US 10-year Treasury jumped further above 4%.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-china-economy-news-growth-outlook-fitch-2023-8,https://i.insider.com/543f7c31ecad04fd6a2a820a?width=1200&format=jpeg,2023-08-15T13:50:56Z,"A trader watches the screen at his terminal on the floor of the New York Stock Exchange in New York October 15, 2014. REUTERS/Lucas Jackson
<ul>
<li>US stocks fell in early morning trading as invest… [+2720 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Jennifer Sor,Nasdaq breaks 4-day losing streak as tech shares rise ahead of key earnings,"Investors have their eye on Nvidia, which is expected to release its quarterly earnings report this Wednesday.",https://markets.businessinsider.com/news/stocks/stock-market-news-today-tech-rally-nasdaq-nvidia-stock-earnings-2023-8,https://i.insider.com/5ec6a04f988ee34d862e7c37?width=1200&format=jpeg,2023-08-21T20:05:41Z,"Goldman Sach's gives its list of high Sharpe ratio stocks.Andrew Kelly/Reuters
<ul>
<li>US stocks finished mixed on Monday as traders looked ahead to key earnings reports this week.</li>
<li>The Nas… [+2508 chars]"
